Code,Series,Site,Length(mm),Weight(g),Seascape,Zone,ID,d13C,d15N,Benthic algae,Drift,Epiphytes,Seagrass,TL
1-2,1,2,165,75.808,Fragmented,Zone 2,111,-17.194,15.646,0.048,0.067,0.838,0.047,3.425348866995074
2-2,2,2,155,68.967,Fragmented,Zone 2,112,-18.539,12.235,0.131,0.084,0.609,0.175,2.150755
3-2,3,2,110,23.994,Fragmented,Zone 2,113,-16.575,15.833,0.037,0.051,0.872,0.04,3.5291504187192118
4-2,4,2,150,54.16,Fragmented,Zone 2,114,-14.361,15.247,0.019,0.023,0.933,0.025,3.3948862315270927
5-2,5,2,150,60.939,Fragmented,Zone 2,115,-14.838,16.665,0.02,0.025,0.933,0.023,3.8764635467980293
6-2,6,2,100,14.824,Fragmented,Zone 2,116,-17.999,16.057,0.064,0.103,0.782,0.051,3.4858718226600973
7-2,7,2,130,41.19,Fragmented,Zone 2,117,-18.108,16.134,0.066,0.109,0.776,0.05,3.4966462561576352
8-2,8,2,135,42.264,Fragmented,Zone 2,118,-18.054,15.587,0.067,0.103,0.77,0.061,3.318461108374384
9-2,9,2,110,21.18,Fragmented,Zone 2,119,-18.428,15.217,0.079,0.12,0.735,0.066,3.1516651477832514
10-2,10,2,115,28.064,Fragmented,Zone 2,120,-18.282,16.105,0.069,0.118,0.759,0.053,3.472756921182266
1-7,1,7,120,26.513,Continuous,Zone 2,81,-15.921,14.344,0.032,0.036,0.888,0.044,3.048124926108374
2-7,2,7,115,19.241,Continuous,Zone 2,82,-15.91,16.004,0.029,0.039,0.9,0.032,3.6174217487684732
3-7,3,7,135,39.615,Continuous,Zone 2,83,-15.957,13.713,0.034,0.036,0.871,0.059,2.828780837438423
4-7,4,7,110,19.41,Continuous,Zone 2,84,-17.35,16.356,0.046,0.074,0.84,0.04,3.6586388669950747
5-7,5,7,150,50.701,Continuous,Zone 2,85,-14.622,14.7,0.021,0.024,0.926,0.029,3.2027040147783246
6-7,6,7,105,18.057,Continuous,Zone 2,86,-15.787,16.666,0.027,0.037,0.909,0.027,3.8511573645320194
7-7,7,7,120,28.508,Continuous,Zone 2,87,-15.592,14.958,0.029,0.034,0.9,0.037,3.266144408866995
8-7,8,7,120,25.476,Continuous,Zone 2,88,-16.941,15.771,0.044,0.059,0.853,0.044,3.486878029556651
9-7,9,7,110,18.649,Continuous,Zone 2,89,-16.672,16.212,0.037,0.053,0.872,0.038,3.656075147783251
10-7,10,7,120,27.501,Continuous,Zone 2,90,-15.481,14.771,0.027,0.032,0.903,0.038,3.207074113300493
1-12,1,12,130,44.191,Continuous,Zone 2,61,-15.966,16.396,0.032,0.048,0.89,0.03,3.733137339901478
2-12,2,12,130,46.57,Continuous,Zone 2,62,-17.832,15.572,0.062,0.092,0.791,0.055,3.3410323645320195
3-12,3,12,95,14.947,Continuous,Zone 2,63,-18.11,17.681,0.058,0.111,0.795,0.036,4.035786256157635
4-12,4,12,125,33.36,Continuous,Zone 2,64,-16.113,16.737,0.029,0.041,0.901,0.029,3.866423325123152
5-12,5,12,100,15.53,Continuous,Zone 2,65,-15.106,17.502,0.02,0.027,0.933,0.02,4.164130640394088
6-12,6,12,110,22.81,Continuous,Zone 2,66,-13.797,16.688,0.016,0.02,0.948,0.017,3.89717290640394
7-12,7,12,100,17.34,Continuous,Zone 2,67,-16.217,17.296,0.029,0.044,0.9,0.027,4.053526674876847
8-12,8,12,105,16.14,Continuous,Zone 2,68,-14.601,17.275,0.018,0.024,0.938,0.02,4.093165467980295
9-12,9,12,155,77.82,Continuous,Zone 2,69,-14.598,16.542,0.018,0.024,0.937,0.021,3.8403989655172412
10-12,10,12,115,28.7,Continuous,Zone 2,70,-16.987,17.027,0.039,0.062,0.865,0.034,3.9184883990147785
1-13,1,13,95,16.65,Fragmented,Zone 2,101,-16.25,16.536,0.032,0.043,0.894,0.031,3.7908570443349756
2-13,2,13,145,50.03,Fragmented,Zone 2,102,-16.94,16.432,0.042,0.061,0.858,0.039,3.7127074384236445
